,orn_peak_ch,orn_peak_lat,orn_peak_amp,orn_mean_amp,pid,condition,ds
78,Fz,0.108,-2.423632473575705,-0.8060232453025511,9,inharmonic,orn_standards
79,FC2,0.139,-2.424736885402257,-1.9459545770752056,10,inharmonic,orn_standards
80,Cz,0.204,-2.139883124876364,-1.3460426651654076,11,inharmonic,orn_standards
81,FC1,0.142,-2.7532882367259033,-1.9948114161714754,12,inharmonic,orn_standards
82,FC1,0.138,-1.9159935210911514,-1.2647264165699086,13,inharmonic,orn_standards
83,Fz,0.172,-1.3565507089203845,-0.7554475892147793,14,inharmonic,orn_standards
84,F4,0.141,-0.48523686610065425,0.22488097235299306,15,inharmonic,orn_standards
85,F4,0.134,-3.7952568868812,-2.900661174696668,16,inharmonic,orn_standards
86,FC1,0.12,-2.994056682016888,-2.3123379900687344,17,inharmonic,orn_standards
87,F4,0.105,-2.1143327126254206,-0.9128302874487126,18,inharmonic,orn_standards
88,FC2,0.143,-2.086751088289425,-1.3820793743249982,19,inharmonic,orn_standards
89,FC1,0.148,-1.2990337655809334,-0.30783919530665316,20,inharmonic,orn_standards
90,FC2,0.151,-2.789687374121918,-1.9236450781885435,21,inharmonic,orn_standards
91,Fz,0.138,-2.319040285284753,-1.2362718028311235,22,inharmonic,orn_standards
92,F3,0.189,-6.080383932874788,-3.4311804809238744,23,inharmonic,orn_standards
93,FC1,0.115,-2.5746451485819524,-1.441908737656544,24,inharmonic,orn_standards
94,Fz,0.139,-0.7423671502235485,-0.4012525625651316,25,inharmonic,orn_standards
95,FC2,0.122,-1.2449713211577451,-0.564666192704071,26,inharmonic,orn_standards
96,Fz,0.144,-1.5661086132545192,-1.0180730605819326,29,inharmonic,orn_standards
97,Cz,0.158,-4.444334785170806,-3.3654228835396975,30,inharmonic,orn_standards
98,F3,0.145,-4.547594496057218,-2.902455596121278,31,inharmonic,orn_standards
99,Cz,0.163,-2.9086979872990057,-2.1420233609722126,32,inharmonic,orn_standards
100,Fz,0.152,-2.1271330757319156,-1.316126424455177,33,inharmonic,orn_standards
101,FC1,0.141,-2.690149629985555,-1.9335687235560604,34,inharmonic,orn_standards
102,F4,0.173,-0.8533970724088737,-0.25169334663651255,35,inharmonic,orn_standards
103,FC2,0.253,-1.816375115395559,-1.0201877611837424,36,inharmonic,orn_standards
104,Cz,0.136,-0.6743961197426767,0.028170327738740803,37,inharmonic,orn_standards
105,Cz,0.124,-2.7583448792992487,-1.8173309460013842,1,changing,orn_standards
106,Cz,0.155,-2.952217208778906,-1.743872911503365,2,changing,orn_standards
107,Fz,0.145,-17.377614799861366,-8.79876265452346,3,changing,orn_standards
108,Cz,0.129,-2.4069998967296593,-1.6536772824618702,4,changing,orn_standards
109,FC1,0.205,-0.631959684135829,-0.031126778357104458,5,changing,orn_standards
110,FC1,0.142,-1.5381378334375833,-1.056257242903137,6,changing,orn_standards
111,FC2,0.135,-3.215071326691541,-2.3311718443489484,7,changing,orn_standards
112,Cz,0.188,-1.512280676632265,-0.9287529732626012,8,changing,orn_standards
113,FC2,0.112,-2.2873875204752805,-1.1159106292455934,9,changing,orn_standards
114,Fz,0.134,-3.268684097999374,-2.268568725458536,10,changing,orn_standards
115,F3,0.125,-1.2451008065903444,-0.5591823932772373,11,changing,orn_standards
116,Cz,0.143,-2.7612458834912212,-1.6107469425621017,12,changing,orn_standards
117,FC1,0.145,-2.3891593383486067,-1.7089812522539742,13,changing,orn_standards
118,FC1,0.161,-0.645534041585998,-0.24251591630737754,14,changing,orn_standards
